"date","normalized_life_expectancy"
1952-12-31,0.00864532228190981
1953-12-31,0.00853920271041598
1954-12-31,0.00842735497685679
1955-12-31,0.00830848220555116
1956-12-31,0.0081837184449989
1957-12-31,0.00805421149974339
1958-12-31,0.00792478535177964
1959-12-31,0.00776962391663648
1960-12-31,0.00760986200535067
1961-12-31,0.00744983934596563
1962-12-31,0.00729173599249803
1963-12-31,0.00713806990040038
1964-12-31,0.00698081977834805
1965-12-31,0.00683355963733866
1966-12-31,0.00669854307812219
1967-12-31,0.00657560368379077
1968-12-31,0.00646044294711051
1969-12-31,0.00634963292426993
1970-12-31,0.0062412991868827
1971-12-31,0.00613728028192598
1972-12-31,0.00603631733354046
1973-12-31,0.00593347135915906
1974-12-31,0.0058181660346671
1975-12-31,0.00570324516026799
1976-12-31,0.00558938264147826
1977-12-31,0.0054734770426594
1978-12-31,0.00535639178015882
1979-12-31,0.0052465974592177
1980-12-31,0.00513858244587293
1981-12-31,0.00503295564909646
1982-12-31,0.00492995165802758
1983-12-31,0.00482688491640093
1984-12-31,0.0047135952626822
1985-12-31,0.00459765550148976
1986-12-31,0.00447966866211531
1987-12-31,0.00436185060371657
1988-12-31,0.00424639217032335
1989-12-31,0.00413803808816412
1990-12-31,0.00403549592300166
1991-12-31,0.0039378460808913
1992-12-31,0.00384364021929854
1993-12-31,0.00375169087243059
1994-12-31,0.00365537218058796
1995-12-31,0.00356251671062579
1996-12-31,0.00347391477743469
1997-12-31,0.00338864872796491
1998-12-31,0.00330757484156056
1999-12-31,0.00323345324070669
2000-12-31,0.00316040644754992
2001-12-31,0.00308819995754914
2002-12-31,0.00301924680785231
2003-12-31,0.00295399110350687
2004-12-31,0.00289224669857756
2005-12-31,0.00283371836311219
2006-12-31,0.00277825842465844
2007-12-31,0.00272546706842945
2008-12-31,0.00267601243133026
2009-12-31,0.00263016846034781
2010-12-31,0.00259080357010099
2011-12-31,0.00255577234382807
2012-12-31,0.00252102041617235
2013-12-31,0.00248748896915119
2014-12-31,0.00245549476991115
2015-12-31,0.00242519569370372
2016-12-31,0.0023961491597301
2017-12-31,0.00236854076485203
2018-12-31,0.00234357124887162
2019-12-31,0.00231904504386962
2020-12-31,0.00229572337560433
2021-12-31,0.00227444708942435
2022-12-31,0.00225427255011393
2023-12-31,0.00223413859966291
2024-12-31,0.00221481981299263
2025-12-31,0.00219635531886892
2026-12-31,0.00217870724948471
2027-12-31,0.00216186960145033
2028-12-31,0.00214586905505369
2029-12-31,0.00213065249046884
2030-12-31,0.00211624814933909
2031-12-31,0.00210257222057145
2032-12-31,0.00208964300305085
2033-12-31,0.00207752599921588
2034-12-31,0.00206620501340602
2035-12-31,0.0020556284979173
2036-12-31,0.00204573334913685
2037-12-31,0.0020364872620338
2038-12-31,0.00202785885680101
2039-12-31,0.00201989849871807
2040-12-31,0.00201245134257068
2041-12-31,0.00200547407916142
2042-12-31,0.00199898105785545
2043-12-31,0.00199294775327487
2044-12-31,0.00198720124593175
2045-12-31,0.00198187213167741
2046-12-31,0.00197694075519285
2047-12-31,0.00197239052474829
2048-12-31,0.00196820714592241
2049-12-31,0.00196436646087857
2050-12-31,0.00196088786643483
2051-12-31,0.00195778866749818
2052-12-31,0.00195506796645836
2053-12-31,0.00195272366200584
2054-12-31,0.00195084625396178
2055-12-31,0.00194932508869624
2056-12-31,0.00194819024382495
2057-12-31,0.00194746138596439
2058-12-31,0.00194714103858403
2059-12-31,0.00194717320198772
2060-12-31,0.0019476012399915
2061-12-31,0.00194843833472729
2062-12-31,0.00194967370347458
2063-12-31,0.001951318040541
2064-12-31,0.00195329713182216
2065-12-31,0.00195570621203487
2066-12-31,0.00195856741130773
2067-12-31,0.00196186975833715
2068-12-31,0.00196561718733774
2069-12-31,0.00196962325843355
2070-12-31,0.0019740359972079
2071-12-31,0.00197884526844309
2072-12-31,0.00198399195000967
2073-12-31,0.00198943868481003
2074-12-31,0.00199504510928166
2075-12-31,0.00200101780141157
2076-12-31,0.00200731018714698
2077-12-31,0.00201385904968486
2078-12-31,0.00202066279994079
2079-12-31,0.00202754852499906
2080-12-31,0.00203465526605998
2081-12-31,0.00204197335505697
2082-12-31,0.00204942177564095
2083-12-31,0.00205696917230194
2084-12-31,0.00206452938742752
2085-12-31,0.00207224671595427
2086-12-31,0.00208003959133242
2087-12-31,0.00208791354882308
2088-12-31,0.00209590882720512
2089-12-31,0.00210391560457638
2090-12-31,0.00211196029449513
2091-12-31,0.00212003879927263
2092-12-31,0.00212821272663473
2093-12-31,0.00213645273999691
2094-12-31,0.00214454294222865
2095-12-31,0.00215267236326631
2096-12-31,0.00216089575670449
2097-12-31,0.0021691985417015
2098-12-31,0.00217753886051422
2099-12-31,0.00218590671761827
2100-12-31,0.00219432942919011
